datetime,AIZ,EQR,MNST,RJF,SO,cash,commission,total,returns,equity_curve
2018-01-01,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,,
2010-09-01,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2010-09-01,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2010-09-01,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2010-09-01,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2010-09-01,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2010-09-01,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2010-09-01,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2010-09-01,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2010-09-01,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2010-09-01,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2010-09-02,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2010-09-03,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2010-09-07,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2010-09-08,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2010-09-09,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2010-09-10,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2010-09-13,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2010-09-14,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2010-09-15,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2010-09-16,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2010-09-17,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2010-09-20,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2010-09-21,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2010-09-22,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2010-09-23,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2010-09-24,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2010-09-27,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2010-09-28,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2010-09-29,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2010-09-30,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2010-10-01,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2010-10-04,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2010-10-05,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
