datetime,AIZ,EQR,MNST,RJF,SO,cash,commission,total,returns,equity_curve
1/1/2018,0,0,0,0,0,100000,0,100000,,
9/1/2010,0,0,0,0,0,100000,0,100000,0,1
9/1/2010,75120,95680,15220,48260,73800,-208105,25,99975,-0.00025,0.99975
9/1/2010,0,0,0,0,0,101210,50,101210,0.012353088,1.0121
9/1/2010,75120,95680,15220,48260,73800,-213615,75,94465,-0.066643612,0.94465
9/1/2010,0,0,0,0,0,97700,100,97700,0.034245488,0.977
9/1/2010,75120,95680,0,48260,73800,-199240,120,93620,-0.041760491,0.9362
9/1/2010,0,0,0,0,0,96940,140,96940,0.035462508,0.9694
9/1/2010,75120,95680,0,0,0,-76750,150,94050,-0.029812255,0.9405
9/1/2010,0,0,15220,48260,73800,-42035,175,95245,0.012706007,0.95245
9/1/2010,75120,95680,0,0,0,-77440,200,93360,-0.019791065,0.9336
9/2/2010,0,0,0,48820,0,50125,215,98945,0.059822194,0.98945
9/3/2010,0,0,0,0,0,100920,220,100920,0.019960584,1.0092
9/7/2010,76660,96420,0,48600,73800,-202020,240,93460,-0.073919937,0.9346
9/8/2010,0,0,15560,0,0,90675,265,106235,0.136689493,1.06235
9/9/2010,0,0,0,0,0,105890,270,105890,-0.003247517,1.0589
9/10/2010,0,0,0,0,74220,30945,275,105165,-0.006846728,1.05165
9/13/2010,0,0,15420,0,0,89775,285,105195,0.000285266,1.05195
9/14/2010,79480,95960,0,50140,74440,-198990,310,101030,-0.039593137,1.0103
9/15/2010,0,0,15380,0,0,87245,335,102625,0.01578739,1.02625
9/16/2010,79840,0,0,50800,74020,-103955,355,100705,-0.018708892,1.00705
9/17/2010,0,0,0,0,0,102330,370,102330,0.01613624,1.0233
9/20/2010,81200,100960,0,0,0,-74220,380,107940,0.054822633,1.0794
9/21/2010,0,0,15220,50420,0,35040,400,100680,-0.067259589,1.0068
9/22/2010,0,98080,0,0,74940,-69860,420,103160,0.024632499,1.0316
9/23/2010,78680,0,15160,48480,0,-47605,445,94715,-0.081863125,0.94715
9/24/2010,0,0,0,0,0,104160,460,104160,0.099720213,1.0416
9/27/2010,0,0,0,49920,75040,-24970,470,99990,-0.040034562,0.9999
9/28/2010,0,96120,15760,0,0,-8350,490,103530,0.03540354,1.0353
9/29/2010,0,0,0,50720,0,50095,505,100815,-0.026224283,1.00815
9/30/2010,81400,95140,15540,0,0,-91185,525,100895,0.000793533,1.00895
10/1/2010,0,0,0,51920,74280,-23330,550,102870,0.019574805,1.0287
